"Timestamp","العمر","الجنس","القطاع الوظيفي","  ما مدى معرفتك بتقنيات الذكاء الاصطناعي؟ (1: ضعيف جداً - 5: خبير)  ","  هل تستعمل أدوات الذكاء الاصطناعي في حياتك اليومية؟   ","  هل تؤيد استخدام أنظمة التعرف على الوجوه المعتمدة على الذكاء الاصطناعي في الأماكن العامة لتقليل الجريمة؟  ","هل تؤيد استخدام الذكاء الاصطناعي في التحقيقات الجنائية؟","إلى أي مدى تؤيد استخدام الذكاء الاصطناعي في مراقبة وتأمين الحدود الوطنية؟ ","هل تؤيد أن يقوم الذكاء الاصطناعي بوضع خطط عسكرية بدلا من القادة البشريين؟ ","هل أنت مستعد للالتزام بأوامر عسكرية صادرة عن نظام ذكاء اصطناعي؟ ","هل تؤيد منح الذكاء الاصطناعي صلاحية اتخاذ قرارات إستراتيجية كبرى مثل ""إعلان الحرب""؟ ","ما مدى قلقك من استخدام الذكاء الاصطناعي في عمليات التجسس أو الاختراق الإلكتروني للدولة؟ ","  هل تؤيد استخدام الذكاء الاصطناعي في فرز المتقدمين للوظائف لضمان النزاهة؟  ","هل تثق في قدرة الذكاء الاصطناعي على إدارة ميزانية الدولة وتقليل الهدر المالي؟ ","هل تؤيد استبدال الوظائف الروتينية (كالمحاسبة والإدخال) بالذكاء الاصطناعي لزيادة الإنتاجية؟ ","هل تشعر بالقلق من أن يؤدي الذكاء الاصطناعي إلى زيادة معدلات البطالة في المجتمع؟ ","هل تعتقد أن قرارات الذكاء الاصطناعي في البنوك (مثل منح القروض) أكثر عدالة من البشر؟ ","ما مدى تقبلك لفكرة استبدال الموظفين في خدمة العملاء بروبوتات ذكاء اصطناعي بالكامل؟ ","هل تؤيد استثمار ميزانية الدولة في بناء بنية تحتية للذكاء الاصطناعي بدلاً من المشاريع التقليدية؟ ","هل تعتقد أن الذكاء الاصطناعي سيقلل من المحسوبية (الواسطة) في التعيينات الحكومية؟ ","  هل تثق في قدرة الذكاء الاصطناعي على تشخيص الأمراض بدقة أعلى من الطبيب البشري؟  ","ما مدى تقبلك لوصف العلاج والأدوية لك بناءً على تحليل نظام ذكاء اصطناعي فقط؟ ","هل توافق على إجراء عملية جراحية لك يقودها روبوت يعمل بالذكاء الاصطناعي (تحت إشراف بشري)؟ ","في حالات الطوارئ، هل تؤيد أن يتخذ الذكاء الاصطناعي قرار ""الأولوية في العلاج"" للمرضى؟ ","هل تثق في الحفاظ على خصوصية بياناتك الطبية عند تخزينها ومعالجتها بواسطة الذكاء الاصطناعي؟ ","هل تؤيد استخدام الذكاء الاصطناعي في اتخاذ قرارات أخلاقية معقدة (مثل المفاضلة بين حياة الجنين والأم)؟ ","هل تعتقد أن الذكاء الاصطناعي سيقلل من الأخطاء الطبية الناتجة عن تعب الأطباء؟ ","هل تؤيد استبدال الممرضين في دور الرعاية بروبوتات لمتابعة الحالة الصحية للمرضى؟ "
"2026/05/13 8:40:34 PM GMT+3","18-30","ذكر","طالب","3","نعم","محايد","مؤيد","محايد","معارض","لست بمستعد","معارض بشدة","محايد","مؤيد","نعم اثق","نعم","نعم","لا","محايد","مؤيد","نعم","لا","مؤيد","لا","لا","نعم","معارض","محايد","مؤيد"
"2026/05/13 8:53:21 PM GMT+3","18-30","ذكر","طالب","2","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","معارض بشدة","لست بمستعد","معارض بشدة","قلق للغاية","مؤيد","كلا لا اثق","لا","نعم","لا","معارض بشدة","معارض","لا","لا","معارض بشدة","لا","لا","لا","معارض بشدة","محايد","معارض بشدة"
"2026/05/13 8:56:23 PM GMT+3","18-30","ذكر","طالب","3","لا","مؤيد","مؤيد","مؤيد","محايد","لا اعلم","مؤيد","محايد","مؤيد بشدة","نعم اثق","نعم","نعم","نعم","مؤيد بشدة","مؤيد","نعم","نعم","مؤيد","نعم","نعم","نعم","محايد","نعم","مؤيد"
"2026/05/13 9:08:48 PM GMT+3","6-18","ذكر","طالب","2","نعم","مؤيد","مؤيد","مؤيد بشدة","معارض بشدة","لست بمستعد","معارض بشدة","قلق للغاية","محايد","كلا لا اثق","محايد","نعم","محايد","معارض","مؤيد","نعم","لا","معارض بشدة","لا","لا","لا","معارض بشدة","لا","معارض بشدة"
"2026/05/13 9:09:05 PM GMT+3","6-18","ذكر","طالب","3","نعم","معارض بشدة","مؤيد","مؤيد","معارض بشدة","لا اعلم","معارض بشدة","محايد","محايد","محايد","لا","نعم","نعم","مؤيد","محايد","نعم","نعم","محايد","نعم","لا","لا","معارض بشدة","نعم","معارض بشدة"
"2026/05/13 9:15:03 PM GMT+3","18-30","أنثى","عاطل","1","نعم","محايد","مؤيد","مؤيد","محايد","لا اعلم","معارض بشدة","قلق للغاية","محايد","كلا لا اثق","محايد","لا","لا","معارض","محايد","نعم","لا","معارض","محايد","نعم","نعم","معارض بشدة","نعم","معارض"
"2026/05/13 9:23:36 PM GMT+3","18-30","أنثى","طالب","2","نعم","محايد","مؤيد","محايد","معارض بشدة","لست بمستعد","معارض بشدة","محايد","محايد","كلا لا اثق","محايد","لا","لا","معارض","محايد","محايد","لا","معارض","لا","لا","محايد","معارض","لا","معارض بشدة"
"2026/05/13 9:29:12 PM GMT+3","18-30","ذكر","موظف في القطاع الخاص","2","نعم","محايد","مؤيد","مؤيد","معارض بشدة","لست بمستعد","معارض بشدة","محايد","مؤيد","محايد","محايد","نعم","نعم","محايد","مؤيد","نعم","لا","محايد","محايد","محايد","محايد","معارض","نعم","معارض"
"2026/05/13 9:29:20 PM GMT+3","6-18","ذكر","طالب","2","لا","مؤيد بشدة","مؤيد بشدة","مؤيد","مؤيد بشدة","نعم مستعد","معارض بشدة","محايد","مؤيد بشدة","نعم اثق","نعم","نعم","نعم","مؤيد","مؤيد بشدة","نعم","لا","معارض بشدة","لا","لا","نعم","معارض بشدة","نعم","مؤيد بشدة"
"2026/05/13 9:30:50 PM GMT+3","18-30","ذكر","عاطل","3","نعم","مؤيد بشدة","معارض","مؤيد بشدة","محايد","لا اعلم","معارض بشدة","قلق للغاية","مؤيد","نعم اثق","محايد","نعم","محايد","محايد","مؤيد","نعم","نعم","محايد","محايد","محايد","محايد","مؤيد","محايد","محايد"
"2026/05/13 9:45:17 PM GMT+3","18-30","أنثى","عاطل","2","نعم","مؤيد","مؤيد","مؤيد بشدة","معارض","لست بمستعد","معارض بشدة","محايد","مؤيد بشدة","نعم اثق","محايد","محايد","لا","معارض","محايد","نعم","لا","معارض","لا","لا","محايد","معارض","محايد","معارض"
"2026/05/13 9:49:04 PM GMT+3","18-30","أنثى","طالب","3","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","محايد","لا اعلم","معارض","محايد","محايد","محايد","لا","نعم","لا","محايد","محايد","نعم","محايد","مؤيد","نعم","نعم","نعم","محايد","نعم","محايد"
"2026/05/13 9:51:18 PM GMT+3","18-30","ذكر","عاطل","3","نعم","مؤيد","مؤيد","مؤيد بشدة","معارض بشدة","لست بمستعد","معارض بشدة","لا اشعر باي قلق","معارض بشدة","كلا لا اثق","لا","لا","لا","محايد","مؤيد بشدة","نعم","لا","مؤيد","لا","لا","نعم","معارض","لا","مؤيد"
"2026/05/13 9:52:55 PM GMT+3","18-30","أنثى","عاطل","2","نعم","مؤيد","مؤيد","مؤيد","محايد","لست بمستعد","معارض","قلق للغاية","مؤيد بشدة","نعم اثق","نعم","نعم","محايد","مؤيد","مؤيد","نعم","لا","محايد","لا","محايد","لا","معارض","محايد","مؤيد"
"2026/05/13 9:54:06 PM GMT+3","18-30","ذكر","طالب","2","نعم","محايد","مؤيد","مؤيد بشدة","معارض","لا اعلم","معارض بشدة","قلق للغاية","محايد","محايد","لا","نعم","محايد","محايد","محايد","نعم","لا","محايد","محايد","لا","محايد","مؤيد","نعم","مؤيد"
"2026/05/13 10:05:26 PM GMT+3","18-30","ذكر","طالب","4","نعم","مؤيد","مؤيد بشدة","مؤيد","محايد","لا اعلم","معارض","قلق للغاية","مؤيد بشدة","نعم اثق","محايد","لا","محايد","مؤيد بشدة","مؤيد بشدة","نعم","نعم","مؤيد","نعم","نعم","محايد","معارض بشدة","نعم","مؤيد بشدة"
"2026/05/13 10:07:36 PM GMT+3","18-30","أنثى","طالب","3","نعم","مؤيد","محايد","محايد","محايد","لا اعلم","معارض بشدة","قلق للغاية","معارض","كلا لا اثق","لا","نعم","محايد","معارض","مؤيد","نعم","محايد","معارض بشدة","لا","لا","لا","معارض","محايد","محايد"
"2026/05/13 10:09:53 PM GMT+3","18-30","ذكر","عاطل","1","نعم","مؤيد بشدة","مؤيد","محايد","معارض","لا اعلم","معارض","قلق للغاية","مؤيد بشدة","نعم اثق","نعم","نعم","نعم","معارض بشدة","مؤيد بشدة","نعم","محايد","معارض بشدة","لا","محايد","لا","معارض","نعم","معارض بشدة"
"2026/05/13 10:15:41 PM GMT+3","18-30","ذكر","طالب","3","نعم","محايد","مؤيد","مؤيد","محايد","لست بمستعد","معارض","قلق للغاية","مؤيد","نعم اثق","لا","نعم","لا","محايد","محايد","محايد","لا","معارض","لا","لا","لا","معارض","لا","معارض بشدة"
"2026/05/13 10:17:27 PM GMT+3","18-30","أنثى","طالب","2","نعم","محايد","مؤيد","محايد","معارض","لست بمستعد","معارض بشدة","محايد","مؤيد","محايد","نعم","محايد","محايد","معارض بشدة","محايد","لا","محايد","مؤيد","لا","لا","لا","معارض","نعم","معارض بشدة"
"2026/05/13 10:25:46 PM GMT+3","30-50","أنثى","موظف في الدولة","1","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","معارض بشدة","لست بمستعد","معارض بشدة","محايد","مؤيد بشدة","محايد","محايد","نعم","نعم","مؤيد بشدة","محايد","نعم","محايد","محايد","لا","لا","محايد","معارض بشدة","لا","معارض"
"2026/05/13 10:28:13 PM GMT+3","18-30","أنثى","طالب","3","لا","محايد","مؤيد","مؤيد بشدة","معارض","لست بمستعد","معارض بشدة","لا اشعر باي قلق","محايد","كلا لا اثق","لا","محايد","محايد","مؤيد","محايد","نعم","لا","مؤيد","لا","لا","لا","محايد","محايد","محايد"
"2026/05/13 10:30:22 PM GMT+3","18-30","ذكر","طالب","4","نعم","مؤيد","محايد","مؤيد","محايد","لا اعلم","معارض","قلق للغاية","مؤيد","نعم اثق","نعم","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","نعم","محايد"
"2026/05/13 10:31:30 PM GMT+3","18-30","ذكر","موظف في الدولة","3","نعم","مؤيد","محايد","مؤيد","معارض","لا اعلم","معارض بشدة","قلق للغاية","مؤيد","نعم اثق","نعم","محايد","لا","معارض بشدة","محايد","لا","لا","محايد","نعم","لا","لا","معارض بشدة","لا","معارض بشدة"
"2026/05/13 10:33:29 PM GMT+3","30-50","ذكر","موظف في الدولة","3","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","معارض","لست بمستعد","معارض بشدة","محايد","مؤيد بشدة","محايد","نعم","لا","محايد","محايد","مؤيد","نعم","لا","معارض","نعم","نعم","نعم","محايد","نعم","مؤيد"
"2026/05/13 10:36:03 PM GMT+3","18-30","أنثى","طالب","2","نعم","معارض","مؤيد بشدة","مؤيد بشدة","معارض بشدة","لست بمستعد","معارض بشدة","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد","محايد"
"2026/05/13 10:36:50 PM GMT+3","18-30","ذكر","طالب","2","نعم","مؤيد","مؤيد بشدة","مؤيد","مؤيد","لا اعلم","معارض بشدة","محايد","معارض","محايد","لا","محايد","محايد","معارض","معارض","نعم","نعم","محايد","لا","نعم","محايد","محايد","محايد","معارض بشدة"
"2026/05/13 10:37:22 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد","محايد","مؤيد بشدة","معارض","لست بمستعد","معارض بشدة","قلق للغاية","مؤيد","محايد","نعم","نعم","لا","معارض","مؤيد","نعم","لا","مؤيد بشدة","لا","نعم","نعم","معارض بشدة","نعم","معارض بشدة"
"2026/05/13 10:47:59 PM GMT+3","30-50","ذكر","عاطل","2","لا","محايد","مؤيد","محايد","معارض بشدة","لست بمستعد","معارض بشدة","قلق للغاية","محايد","كلا لا اثق","نعم","لا","لا","مؤيد","محايد","نعم","محايد","مؤيد","نعم","نعم","محايد","معارض بشدة","محايد","مؤيد بشدة"
"2026/05/13 11:01:22 PM GMT+3","18-30","أنثى","طالب","2","نعم","مؤيد","معارض","معارض","معارض","لست بمستعد","معارض","قلق للغاية","مؤيد","نعم اثق","محايد","نعم","محايد","مؤيد","معارض","نعم","لا","معارض","محايد","محايد","محايد","محايد","محايد","مؤيد"
"2026/05/13 11:06:26 PM GMT+3","18-30","أنثى","طالب","2","نعم","محايد","مؤيد","مؤيد بشدة","معارض","لا اعلم","معارض بشدة","محايد","محايد","كلا لا اثق","لا","نعم","محايد","معارض بشدة","معارض","نعم","محايد","معارض","محايد","محايد","نعم","محايد","نعم","معارض"
"2026/05/13 11:06:37 PM GMT+3","18-30","أنثى","طالب","1","نعم","مؤيد بشدة","مؤيد","مؤيد","محايد","لا اعلم","معارض","محايد","مؤيد","محايد","نعم","نعم","نعم","محايد","محايد","نعم","محايد","محايد","لا","لا","محايد","محايد","محايد","محايد"
"2026/05/13 11:16:51 PM GMT+3","6-18","أنثى","طالب","3","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","محايد","لا اعلم","معارض بشدة","محايد","محايد","نعم اثق","نعم","نعم","نعم","مؤيد","مؤيد بشدة","نعم","محايد","محايد","محايد","محايد","لا","معارض","محايد","مؤيد بشدة"
"2026/05/14 12:20:30 AM GMT+3","+50","أنثى","موظف في الدولة","3","نعم","مؤيد","مؤيد بشدة","مؤيد بشدة","معارض","لست بمستعد","معارض بشدة","قلق للغاية","مؤيد","نعم اثق","محايد","نعم","محايد","معارض بشدة","مؤيد","نعم","محايد","محايد","لا","محايد","نعم","معارض","نعم","مؤيد"
"2026/05/14 12:58:44 AM GMT+3","18-30","ذكر","طالب","4","نعم","مؤيد","محايد","مؤيد","معارض بشدة","لست بمستعد","معارض بشدة","محايد","مؤيد","محايد","لا","نعم","لا","معارض","محايد","محايد","لا","معارض","محايد","لا","لا","معارض بشدة","لا","معارض بشدة"
"2026/05/14 1:52:28 AM GMT+3","18-30","أنثى","طالب","2","نعم","مؤيد بشدة","محايد","مؤيد بشدة","معارض","لا اعلم","معارض بشدة","قلق للغاية","مؤيد","محايد","لا","نعم","لا","معارض بشدة","محايد","نعم","لا","معارض","لا","لا","محايد","معارض بشدة","محايد","معارض بشدة"
"2026/05/14 5:05:53 AM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد بشدة","محايد","مؤيد بشدة","معارض","لا اعلم","معارض بشدة","قلق للغاية","مؤيد بشدة","محايد","لا","نعم","لا","محايد","مؤيد","نعم","لا","معارض","نعم","نعم","نعم","معارض بشدة","نعم","مؤيد بشدة"
"2026/05/14 12:37:00 PM GMT+3","18-30","ذكر","موظف في القطاع الخاص","3","نعم","مؤيد","مؤيد","مؤيد","معارض","لست بمستعد","معارض","لا اشعر باي قلق","مؤيد","نعم اثق","لا","نعم","لا","معارض","مؤيد","نعم","محايد","مؤيد","نعم","محايد","نعم","مؤيد","نعم","محايد"
"2026/05/14 5:51:21 PM GMT+3","18-30","أنثى","طالب","4","نعم","معارض","محايد","مؤيد بشدة","محايد","لست بمستعد","معارض","قلق للغاية","مؤيد","نعم اثق","نعم","نعم","نعم","معارض بشدة","محايد","نعم","لا","معارض بشدة","لا","لا","لا","معارض","محايد","معارض بشدة"
"2026/05/15 4:35:30 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد","محايد","مؤيد بشدة","محايد","لست بمستعد","معارض بشدة","محايد","محايد","نعم اثق","نعم","محايد","محايد","محايد","مؤيد","نعم","نعم","مؤيد","محايد","محايد","نعم","مؤيد","نعم","مؤيد"
"2026/05/15 4:42:21 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد","مؤيد","محايد","معارض","لست بمستعد","معارض بشدة","قلق للغاية","محايد","نعم اثق","نعم","محايد","محايد","مؤيد","مؤيد","نعم","نعم","محايد","نعم","نعم","نعم","معارض","نعم","محايد"
"2026/05/15 4:42:24 PM GMT+3","6-18","أنثى","طالب","4","نعم","مؤيد بشدة","معارض","معارض","معارض بشدة","لست بمستعد","معارض بشدة","لا اشعر باي قلق","مؤيد","نعم اثق","نعم","لا","محايد","مؤيد بشدة","مؤيد","نعم","لا","معارض","لا","لا","لا","مؤيد","نعم","مؤيد"
"2026/05/15 4:47:35 PM GMT+3","18-30","أنثى","طالب","4","نعم","محايد","مؤيد","مؤيد","معارض","لست بمستعد","معارض بشدة","قلق للغاية","مؤيد","محايد","لا","نعم","محايد","معارض بشدة","معارض","نعم","لا","محايد","لا","محايد","محايد","معارض","نعم","معارض بشدة"
"2026/05/15 4:51:16 PM GMT+3","18-30","أنثى","طالب","4","نعم","مؤيد","محايد","مؤيد بشدة","محايد","لا اعلم","معارض بشدة","قلق للغاية","مؤيد","نعم اثق","نعم","محايد","نعم","محايد","مؤيد","نعم","نعم","محايد","لا","لا","لا","معارض","نعم","مؤيد"
"2026/05/15 4:52:35 PM GMT+3","18-30","أنثى","طالب","3","نعم","محايد","معارض بشدة","مؤيد","معارض بشدة","لست بمستعد","معارض","قلق للغاية","مؤيد بشدة","نعم اثق","نعم","لا","نعم","مؤيد بشدة","مؤيد بشدة","نعم","لا","معارض","نعم","نعم","لا","معارض بشدة","نعم","مؤيد"
"2026/05/15 4:53:03 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد","مؤيد","مؤيد","محايد","لا اعلم","محايد","قلق للغاية","مؤيد","نعم اثق","نعم","محايد","نعم","محايد","مؤيد بشدة","نعم","محايد","محايد","نعم","لا","نعم","محايد","نعم","معارض"
"2026/05/15 4:56:19 PM GMT+3","18-30","ذكر","طالب","4","نعم","مؤيد","مؤيد بشدة","مؤيد بشدة","محايد","لست بمستعد","معارض بشدة","قلق للغاية","محايد","نعم اثق","نعم","نعم","محايد","معارض","مؤيد بشدة","محايد","نعم","مؤيد","نعم","نعم","لا","معارض بشدة","نعم","محايد"
"2026/05/15 4:57:57 PM GMT+3","18-30","ذكر","طالب","4","نعم","محايد","معارض بشدة","مؤيد","معارض بشدة","لست بمستعد","معارض بشدة","قلق للغاية","مؤيد","محايد","نعم","نعم","لا","معارض","محايد","محايد","محايد","معارض","نعم","لا","نعم","معارض بشدة","محايد","معارض بشدة"
"2026/05/15 4:59:07 PM GMT+3","18-30","أنثى","طالب","2","نعم","مؤيد بشدة","محايد","مؤيد","مؤيد","لا اعلم","معارض بشدة","محايد","مؤيد","نعم اثق","نعم","محايد","محايد","مؤيد","محايد","نعم","نعم","محايد","محايد","محايد","نعم","معارض","نعم","محايد"
"2026/05/15 5:06:23 PM GMT+3","18-30","أنثى","طالب","3","نعم","مؤيد","مؤيد","محايد","معارض بشدة","لست بمستعد","معارض بشدة","محايد","معارض","كلا لا اثق","نعم","نعم","محايد","محايد","مؤيد بشدة","نعم","لا","محايد","نعم","لا","نعم","معارض","نعم","مؤيد"
"2026/05/15 5:19:59 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد","معارض","مؤيد","معارض","لست بمستعد","معارض بشدة","قلق للغاية","محايد","محايد","نعم","نعم","نعم","مؤيد","مؤيد","نعم","لا","معارض","نعم","لا","لا","معارض","نعم","محايد"
"2026/05/15 5:30:04 PM GMT+3","18-30","أنثى","طالب","4","نعم","مؤيد بشدة","محايد","مؤيد بشدة","محايد","لست بمستعد","معارض بشدة","قلق للغاية","معارض بشدة","نعم اثق","نعم","نعم","نعم","مؤيد بشدة","مؤيد بشدة","نعم","لا","معارض بشدة","لا","لا","نعم","معارض بشدة","نعم","معارض بشدة"
"2026/05/15 5:42:27 PM GMT+3","18-30","أنثى","طالب","3","نعم","محايد","مؤيد","مؤيد","محايد","لست بمستعد","معارض","محايد","معارض","محايد","نعم","نعم","محايد","معارض بشدة","مؤيد","نعم","محايد","معارض","نعم","محايد","نعم","معارض","نعم","معارض"
"2026/05/15 5:58:56 PM GMT+3","18-30","أنثى","طالب","3","نعم","مؤيد بشدة","مؤيد بشدة","مؤيد بشدة","محايد","لا اعلم","معارض","محايد","مؤيد بشدة","محايد","نعم","نعم","محايد","مؤيد","مؤيد","نعم","نعم","مؤيد","نعم","نعم","نعم","معارض","نعم","مؤيد"
"2026/05/15 6:02:16 PM GMT+3","18-30","ذكر","طالب","3","نعم","مؤيد","مؤيد","مؤيد","محايد","لا اعلم","محايد","محايد","مؤيد","نعم اثق","نعم","نعم","لا","مؤيد بشدة","مؤيد بشدة","نعم","لا","مؤيد","محايد","محايد","محايد","مؤيد","نعم","مؤيد بشدة"
