Timestamp,Age,Gender,Employment Sector,How well do you know AI technologies? (1: Very weak - 5: Expert),Do you use AI tools in your daily life?,Do you support using AI-based facial recognition systems in public places to reduce crime?,Do you support using AI in criminal investigations?,To what extent do you support using AI in monitoring and securing national borders?,Do you support AI developing military plans instead of human commanders?,Are you ready to comply with military orders issued by an AI system?,"Do you support granting AI the authority to make major strategic decisions such as ""declaring war""?",How worried are you about the use of AI in espionage or cyberattacks against the state?,Do you support using AI in screening job applicants to ensure integrity?,Do you trust AI's ability to manage the state budget and reduce financial waste?,Do you support replacing routine jobs (like accounting and data entry) with AI to increase productivity?,Are you worried that AI will lead to increased unemployment rates in society?,Do you believe AI decisions in banks (such as granting loans) are fairer than humans?,How acceptable to you is the idea of completely replacing customer service employees with AI robots?,Do you support investing the state budget in building AI infrastructure instead of traditional projects?,Do you think AI will reduce nepotism (Wasta) in government appointments?,Do you trust AI's ability to diagnose diseases with higher accuracy than a human doctor?,How acceptable to you is having treatment and medications prescribed based solely on an AI system analysis?,Do you agree to undergo surgery led by an AI robot (under human supervision)?,"In emergencies, do you support AI making the ""treatment priority"" decision for patients?",Do you trust that the privacy of your medical data will be maintained when stored and processed by AI?,Do you support using AI to make complex ethical decisions (such as choosing between the life of the fetus and the mother)?,Do you believe AI will reduce medical errors resulting from doctor fatigue?,Do you support replacing nurses in care homes with robots to monitor patients' health status?
2026/05/13 8:53:21 PM GMT+3,18-30,Male,Student,2,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Strongly opposed,Not ready,Strongly opposed,Very worried,Supportive,"No, I do not trust",No,Yes,No,Strongly opposed,Opposed,No,No,Strongly opposed,No,No,No,Strongly opposed,Neutral,Strongly opposed
2026/05/13 8:56:23 PM GMT+3,18-30,Male,Student,3,No,Supportive,Supportive,Supportive,Neutral,I don't know,Supportive,Neutral,Strongly supportive,"Yes, I trust",Yes,Yes,Yes,Strongly supportive,Supportive,Yes,Yes,Supportive,Yes,Yes,Yes,Neutral,Yes,Supportive
2026/05/13 9:08:48 PM GMT+3,6-18,Male,Student,2,Yes,Supportive,Supportive,Strongly supportive,Strongly opposed,Not ready,Strongly opposed,Very worried,Neutral,"No, I do not trust",Neutral,Yes,Neutral,Opposed,Supportive,Yes,No,Strongly opposed,No,No,No,Strongly opposed,No,Strongly opposed
2026/05/13 9:09:05 PM GMT+3,6-18,Male,Student,3,Yes,Strongly opposed,Supportive,Supportive,Strongly opposed,I don't know,Strongly opposed,Neutral,Neutral,Neutral,No,Yes,Yes,Supportive,Neutral,Yes,Yes,Neutral,Yes,No,No,Strongly opposed,Yes,Strongly opposed
2026/05/13 9:15:03 PM GMT+3,18-30,Female,Unemployed,1,Yes,Neutral,Supportive,Supportive,Neutral,I don't know,Strongly opposed,Very worried,Neutral,"No, I do not trust",Neutral,No,No,Opposed,Neutral,Yes,No,Opposed,Neutral,Yes,Yes,Strongly opposed,Yes,Opposed
2026/05/13 9:23:36 PM GMT+3,18-30,Female,Student,2,Yes,Neutral,Supportive,Neutral,Strongly opposed,Not ready,Strongly opposed,Neutral,Neutral,"No, I do not trust",Neutral,No,No,Opposed,Neutral,Neutral,No,Opposed,No,No,Neutral,Opposed,No,Strongly opposed
2026/05/13 9:29:12 PM GMT+3,18-30,Male,Private sector employee,2,Yes,Neutral,Supportive,Supportive,Strongly opposed,Not ready,Strongly opposed,Neutral,Supportive,Neutral,Neutral,Yes,Yes,Neutral,Supportive,Yes,No,Neutral,Neutral,Neutral,Neutral,Opposed,Yes,Opposed
2026/05/13 9:29:20 PM GMT+3,6-18,Male,Student,2,No,Strongly supportive,Strongly supportive,Supportive,Strongly supportive,"Yes, I am ready",Strongly opposed,Neutral,Strongly supportive,"Yes, I trust",Yes,Yes,Yes,Supportive,Strongly supportive,Yes,No,Strongly opposed,No,No,Yes,Strongly opposed,Yes,Strongly supportive
2026/05/13 9:30:50 PM GMT+3,18-30,Male,Unemployed,3,Yes,Strongly supportive,Opposed,Strongly supportive,Neutral,I don't know,Strongly opposed,Very worried,Supportive,"Yes, I trust",Neutral,Yes,Neutral,Neutral,Supportive,Yes,Yes,Neutral,Neutral,Neutral,Neutral,Supportive,Neutral,Neutral
2026/05/13 9:45:17 PM GMT+3,18-30,Female,Unemployed,2,Yes,Supportive,Supportive,Strongly supportive,Opposed,Not ready,Strongly opposed,Neutral,Strongly supportive,"Yes, I trust",Neutral,Neutral,No,Opposed,Neutral,Yes,No,Opposed,No,No,Neutral,Opposed,Neutral,Opposed
2026/05/13 9:49:04 PM GMT+3,18-30,Female,Student,3,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Neutral,I don't know,Opposed,Neutral,Neutral,Neutral,No,Yes,No,Neutral,Neutral,Yes,Neutral,Supportive,Yes,Yes,Yes,Neutral,Yes,Neutral
2026/05/13 9:51:18 PM GMT+3,18-30,Male,Unemployed,3,Yes,Supportive,Supportive,Strongly supportive,Strongly opposed,Not ready,Strongly opposed,I do not feel any worry,Strongly opposed,"No, I do not trust",No,No,No,Neutral,Strongly supportive,Yes,No,Supportive,No,No,Yes,Opposed,No,Supportive
2026/05/13 9:52:55 PM GMT+3,18-30,Female,Unemployed,2,Yes,Supportive,Supportive,Supportive,Neutral,Not ready,Opposed,Very worried,Strongly supportive,"Yes, I trust",Yes,Yes,Neutral,Supportive,Supportive,Yes,No,Neutral,No,Neutral,No,Opposed,Neutral,Supportive
2026/05/13 9:54:06 PM GMT+3,18-30,Male,Student,2,Yes,Neutral,Supportive,Strongly supportive,Opposed,I don't know,Strongly opposed,Very worried,Neutral,Neutral,No,Yes,Neutral,Neutral,Neutral,Yes,No,Neutral,Neutral,No,Neutral,Supportive,Yes,Supportive
2026/05/13 10:05:26 PM GMT+3,18-30,Male,Student,4,Yes,Supportive,Strongly supportive,Supportive,Neutral,I don't know,Opposed,Very worried,Strongly supportive,"Yes, I trust",Neutral,No,Neutral,Strongly supportive,Strongly supportive,Yes,Yes,Supportive,Yes,Yes,Neutral,Strongly opposed,Yes,Strongly supportive
2026/05/13 10:07:36 PM GMT+3,18-30,Female,Student,3,Yes,Supportive,Neutral,Neutral,Neutral,I don't know,Strongly opposed,Very worried,Opposed,"No, I do not trust",No,Yes,Neutral,Opposed,Supportive,Yes,Neutral,Strongly opposed,No,No,No,Opposed,Neutral,Neutral
2026/05/13 10:09:53 PM GMT+3,18-30,Male,Unemployed,1,Yes,Strongly supportive,Supportive,Neutral,Opposed,I don't know,Opposed,Very worried,Strongly supportive,"Yes, I trust",Yes,Yes,Yes,Strongly opposed,Strongly supportive,Yes,Neutral,Strongly opposed,No,Neutral,No,Opposed,Yes,Strongly opposed
2026/05/13 10:15:41 PM GMT+3,18-30,Male,Student,3,Yes,Neutral,Supportive,Supportive,Neutral,Not ready,Opposed,Very worried,Supportive,"Yes, I trust",No,Yes,No,Neutral,Neutral,Neutral,No,Opposed,No,No,No,Opposed,No,Strongly opposed
2026/05/13 10:17:27 PM GMT+3,18-30,Female,Student,2,Yes,Neutral,Supportive,Neutral,Opposed,Not ready,Strongly opposed,Neutral,Supportive,Neutral,Yes,Neutral,Neutral,Strongly opposed,Neutral,No,Neutral,Supportive,No,No,No,Opposed,Yes,Strongly opposed
2026/05/13 10:25:46 PM GMT+3,30-50,Female,Government employee,1,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Strongly opposed,Not ready,Strongly opposed,Neutral,Strongly supportive,Neutral,Neutral,Yes,Yes,Strongly supportive,Neutral,Yes,Neutral,Neutral,No,No,Neutral,Strongly opposed,No,Opposed
2026/05/13 10:28:13 PM GMT+3,18-30,Female,Student,3,No,Neutral,Supportive,Strongly supportive,Opposed,Not ready,Strongly opposed,I do not feel any worry,Neutral,"No, I do not trust",No,Neutral,Neutral,Supportive,Neutral,Yes,No,Supportive,No,No,No,Neutral,Neutral,Neutral
2026/05/13 10:30:22 PM GMT+3,18-30,Male,Student,4,Yes,Supportive,Neutral,Supportive,Neutral,I don't know,Opposed,Very worried,Supportive,"Yes, I trust",Yes,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Yes,Neutral
2026/05/13 10:31:30 PM GMT+3,18-30,Male,Government employee,3,Yes,Supportive,Neutral,Supportive,Opposed,I don't know,Strongly opposed,Very worried,Supportive,"Yes, I trust",Yes,Neutral,No,Strongly opposed,Neutral,No,No,Neutral,Yes,No,No,Strongly opposed,No,Strongly opposed
2026/05/13 10:33:29 PM GMT+3,30-50,Male,Government employee,3,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Opposed,Not ready,Strongly opposed,Neutral,Strongly supportive,Neutral,Yes,No,Neutral,Neutral,Supportive,Yes,No,Opposed,Yes,Yes,Yes,Neutral,Yes,Supportive
2026/05/13 10:36:03 PM GMT+3,18-30,Female,Student,2,Yes,Opposed,Strongly supportive,Strongly supportive,Strongly opposed,Not ready,Strongly opposed,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral
2026/05/13 10:36:50 PM GMT+3,18-30,Male,Student,2,Yes,Supportive,Strongly supportive,Supportive,Supportive,I don't know,Strongly opposed,Neutral,Opposed,Neutral,No,Neutral,Neutral,Opposed,Opposed,Yes,Yes,Neutral,No,Yes,Neutral,Neutral,Neutral,Strongly opposed
2026/05/13 10:37:22 PM GMT+3,18-30,Male,Student,3,Yes,Supportive,Neutral,Strongly supportive,Opposed,Not ready,Strongly opposed,Very worried,Supportive,Neutral,Yes,Yes,No,Opposed,Supportive,Yes,No,Strongly supportive,No,Yes,Yes,Strongly opposed,Yes,Strongly opposed
2026/05/13 10:47:59 PM GMT+3,30-50,Male,Unemployed,2,No,Neutral,Supportive,Neutral,Strongly opposed,Not ready,Strongly opposed,Very worried,Neutral,"No, I do not trust",Yes,No,No,Supportive,Neutral,Yes,Neutral,Supportive,Yes,Yes,Neutral,Strongly opposed,Neutral,Strongly supportive
2026/05/13 11:01:22 PM GMT+3,18-30,Female,Student,2,Yes,Supportive,Opposed,Opposed,Opposed,Not ready,Opposed,Very worried,Supportive,"Yes, I trust",Neutral,Yes,Neutral,Supportive,Opposed,Yes,No,Opposed,Neutral,Neutral,Neutral,Neutral,Neutral,Supportive
2026/05/13 11:06:26 PM GMT+3,18-30,Female,Student,2,Yes,Neutral,Supportive,Strongly supportive,Opposed,I don't know,Strongly opposed,Neutral,Neutral,"No, I do not trust",No,Yes,Neutral,Strongly opposed,Opposed,Yes,Neutral,Opposed,Neutral,Neutral,Yes,Neutral,Yes,Opposed
2026/05/13 11:06:37 PM GMT+3,18-30,Female,Student,1,Yes,Strongly supportive,Supportive,Supportive,Neutral,I don't know,Opposed,Neutral,Supportive,Neutral,Yes,Yes,Yes,Neutral,Neutral,Yes,Neutral,Neutral,No,No,Neutral,Neutral,Neutral,Neutral
2026/05/13 11:16:51 PM GMT+3,6-18,Female,Student,3,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Neutral,I don't know,Strongly opposed,Neutral,Neutral,"Yes, I trust",Yes,Yes,Yes,Supportive,Strongly supportive,Yes,Neutral,Neutral,Neutral,Neutral,No,Opposed,Neutral,Strongly supportive
2026/05/14 12:20:30 AM GMT+3,+50,Female,Government employee,3,Yes,Supportive,Strongly supportive,Strongly supportive,Opposed,Not ready,Strongly opposed,Very worried,Supportive,"Yes, I trust",Neutral,Yes,Neutral,Strongly opposed,Supportive,Yes,Neutral,Neutral,No,Neutral,Yes,Opposed,Yes,Supportive
2026/05/14 12:58:44 AM GMT+3,18-30,Male,Student,4,Yes,Supportive,Neutral,Supportive,Strongly opposed,Not ready,Strongly opposed,Neutral,Supportive,Neutral,No,Yes,No,Opposed,Neutral,Neutral,No,Opposed,Neutral,No,No,Strongly opposed,No,Strongly opposed
2026/05/14 1:52:28 AM GMT+3,18-30,Female,Student,2,Yes,Strongly supportive,Neutral,Strongly supportive,Opposed,I don't know,Strongly opposed,Very worried,Supportive,Neutral,No,Yes,No,Strongly opposed,Neutral,Yes,No,Opposed,No,No,Neutral,Strongly opposed,Neutral,Strongly opposed
2026/05/14 5:05:53 AM GMT+3,18-30,Male,Student,3,Yes,Strongly supportive,Neutral,Strongly supportive,Opposed,I don't know,Strongly opposed,Very worried,Strongly supportive,Neutral,No,Yes,No,Neutral,Supportive,Yes,No,Opposed,Yes,Yes,Yes,Strongly opposed,Yes,Strongly supportive
2026/05/14 12:37:00 PM GMT+3,18-30,Male,Private sector employee,3,Yes,Supportive,Supportive,Supportive,Opposed,Not ready,Opposed,I do not feel any worry,Supportive,"Yes, I trust",No,Yes,No,Opposed,Supportive,Yes,Neutral,Supportive,Yes,Neutral,Yes,Supportive,Yes,Neutral
2026/05/14 5:51:21 PM GMT+3,18-30,Female,Student,4,Yes,Opposed,Neutral,Strongly supportive,Neutral,Not ready,Opposed,Very worried,Supportive,"Yes, I trust",Yes,Yes,Yes,Strongly opposed,Neutral,Yes,No,Strongly opposed,No,No,No,Opposed,Neutral,Strongly opposed
2026/05/15 4:35:30 PM GMT+3,18-30,Male,Student,3,Yes,Supportive,Neutral,Strongly supportive,Neutral,Not ready,Strongly opposed,Neutral,Neutral,"Yes, I trust",Yes,Neutral,Neutral,Neutral,Supportive,Yes,Yes,Supportive,Neutral,Neutral,Yes,Supportive,Yes,Supportive
2026/05/15 4:42:21 PM GMT+3,18-30,Male,Student,3,Yes,Supportive,Supportive,Neutral,Opposed,Not ready,Strongly opposed,Very worried,Neutral,"Yes, I trust",Yes,Neutral,Neutral,Supportive,Supportive,Yes,Yes,Neutral,Yes,Yes,Yes,Opposed,Yes,Neutral
2026/05/15 4:42:24 PM GMT+3,6-18,Female,Student,4,Yes,Strongly supportive,Opposed,Opposed,Strongly opposed,Not ready,Strongly opposed,I do not feel any worry,Supportive,"Yes, I trust",Yes,No,Neutral,Strongly supportive,Supportive,Yes,No,Opposed,No,No,No,Supportive,Yes,Supportive
2026/05/15 4:47:35 PM GMT+3,18-30,Female,Student,4,Yes,Neutral,Supportive,Supportive,Opposed,Not ready,Strongly opposed,Very worried,Supportive,Neutral,No,Yes,Neutral,Strongly opposed,Opposed,Yes,No,Neutral,No,Neutral,Neutral,Opposed,Yes,Strongly opposed
2026/05/15 4:51:16 PM GMT+3,18-30,Female,Student,4,Yes,Supportive,Neutral,Strongly supportive,Neutral,I don't know,Strongly opposed,Very worried,Supportive,"Yes, I trust",Yes,Neutral,Yes,Neutral,Supportive,Yes,Yes,Neutral,No,No,No,Opposed,Yes,Supportive
2026/05/15 4:52:35 PM GMT+3,18-30,Female,Student,3,Yes,Neutral,Strongly opposed,Supportive,Strongly opposed,Not ready,Opposed,Very worried,Strongly supportive,"Yes, I trust",Yes,No,Yes,Strongly supportive,Strongly supportive,Yes,No,Opposed,Yes,Yes,No,Strongly opposed,Yes,Supportive
2026/05/15 4:53:03 PM GMT+3,18-30,Male,Student,3,Yes,Supportive,Supportive,Supportive,Neutral,I don't know,Neutral,Very worried,Supportive,"Yes, I trust",Yes,Neutral,Yes,Neutral,Strongly supportive,Yes,Neutral,Neutral,Yes,No,Yes,Neutral,Yes,Opposed
2026/05/15 4:56:19 PM GMT+3,18-30,Male,Student,4,Yes,Supportive,Strongly supportive,Strongly supportive,Neutral,Not ready,Strongly opposed,Very worried,Neutral,"Yes, I trust",Yes,Yes,Neutral,Opposed,Strongly supportive,Neutral,Yes,Supportive,Yes,Yes,No,Strongly opposed,Yes,Neutral
2026/05/15 4:57:57 PM GMT+3,18-30,Male,Student,4,Yes,Neutral,Strongly opposed,Supportive,Strongly opposed,Not ready,Strongly opposed,Very worried,Supportive,Neutral,Yes,Yes,No,Opposed,Neutral,Neutral,Neutral,Opposed,Yes,No,Yes,Strongly opposed,Neutral,Strongly opposed
2026/05/15 4:59:07 PM GMT+3,18-30,Female,Student,2,Yes,Strongly supportive,Neutral,Supportive,Supportive,I don't know,Strongly opposed,Neutral,Supportive,"Yes, I trust",Yes,Neutral,Neutral,Supportive,Neutral,Yes,Yes,Neutral,Neutral,Neutral,Yes,Opposed,Yes,Neutral
2026/05/15 5:06:23 PM GMT+3,18-30,Female,Student,3,Yes,Supportive,Supportive,Neutral,Strongly opposed,Not ready,Strongly opposed,Neutral,Opposed,"No, I do not trust",Yes,Yes,Neutral,Neutral,Strongly supportive,Yes,No,Neutral,Yes,No,Yes,Opposed,Yes,Supportive
2026/05/15 5:19:59 PM GMT+3,18-30,Male,Student,3,Yes,Supportive,Opposed,Supportive,Opposed,Not ready,Strongly opposed,Very worried,Neutral,Neutral,Yes,Yes,Yes,Supportive,Supportive,Yes,No,Opposed,Yes,No,No,Opposed,Yes,Neutral
2026/05/15 5:30:04 PM GMT+3,18-30,Female,Student,4,Yes,Strongly supportive,Neutral,Strongly supportive,Neutral,Not ready,Strongly opposed,Very worried,Strongly opposed,"Yes, I trust",Yes,Yes,Yes,Strongly supportive,Strongly supportive,Yes,No,Strongly opposed,No,No,Yes,Strongly opposed,Yes,Strongly opposed
2026/05/15 5:42:27 PM GMT+3,18-30,Female,Student,3,Yes,Neutral,Supportive,Supportive,Neutral,Not ready,Opposed,Neutral,Opposed,Neutral,Yes,Yes,Neutral,Strongly opposed,Supportive,Yes,Neutral,Opposed,Yes,Neutral,Yes,Opposed,Yes,Opposed
2026/05/15 5:58:56 PM GMT+3,18-30,Female,Student,3,Yes,Strongly supportive,Strongly supportive,Strongly supportive,Neutral,I don't know,Opposed,Neutral,Strongly supportive,Neutral,Yes,Yes,Neutral,Supportive,Supportive,Yes,Yes,Supportive,Yes,Yes,Yes,Opposed,Yes,Supportive
2026/05/15 6:02:16 PM GMT+3,18-30,Male,Student,3,Yes,Supportive,Supportive,Supportive,Neutral,I don't know,Neutral,Neutral,Supportive,"Yes, I trust",Yes,Yes,No,Strongly supportive,Strongly supportive,Yes,No,Supportive,Neutral,Neutral,Neutral,Supportive,Yes,Strongly supportive
